x,y,speed,lookahead
1.8465821598777064,1.9710936863902968,7,1.89
1.7829239257582672,1.9744319646575024,7,1.89
1.719258149792897,1.9776023909983265,7,1.89
1.6555866705146867,1.980612888808933,7,1.89
1.5919079679610946,1.9834812842515621,7,1.89
1.5282202864759322,1.986204385318101,7,1.89
1.4645246504331373,1.9887607335568909,7,1.89
1.4008220842066545,1.9911288705162768,7,1.89
1.337113612170422,1.9932873377446008,7,1.89
1.273400258698379,1.9952146767902055,7,1.89
1.2096818654219472,1.9968815745137674,6.987304581041995,1.8866764100375333
1.1459552758494798,1.9982659999234895,6.966674525235236,1.8812755763485247
1.0822219959150035,1.999410676321088,6.946044469428478,1.8758747426595166
1.0184840174129217,2.0003630951948606,6.925414413621719,1.8704739089705082
0.9547433321376481,2.001170748033104,6.90478435781496,1.8650730752815
0.8910019318835906,2.0018811263241156,6.884154302008202,1.8596722415924916
0.8272616794047173,2.002536089360288,6.862525723896617,1.8540041359701083
0.7635202213581611,2.0030132039757675,6.837027871853835,1.847300351605897
0.699776583076805,2.0033033990693956,6.811530019811053,1.8405965672416857
0.6360316064246642,2.003485470994371,6.786032167768271,1.8338927828774745
0.572286133265749,2.0036382161038904,6.760534315725489,1.8271889985132632
0.5085410054640704,2.003840430751152,6.7350364636827065,1.820485214149052
0.4447970648836433,2.004170911289352,6.709538611639925,1.8137814297848407
0.38105468517537333,2.0047025071221745,6.656811436767854,1.7993931313038019
0.3173131186274568,2.0054103392994778,6.597057339875323,1.7830217324055173
0.25357205359488805,2.0062041559509867,6.537303242982793,1.7666503335072328
0.18983120168799686,2.006992910158184,6.477549146090261,1.750278934608948
0.12609027451711785,2.0076855550025514,6.41779504919773,1.7339075357106635
0.062348983692581,2.0081910435655725,6.3580409523052,1.717536136812379
-0.0013930069690780652,2.008427492074302,6.299982744895464,1.70163786711391
-0.0651361630284633,2.0084373080596913,6.244637960658204,1.6864966041351472
-0.12888001895423984,2.0082766060941237,6.189293176420943,1.6713553411563844
-0.19262392782982282,2.007986376829576,6.133948392183681,1.6562140781776213
-0.2563672427386232,2.007607610918025,6.0786036079464205,1.6410728151988585
